qname,question,response
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per week
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Daily or almost daily
SOVisitFreq,How frequently would you say you visit Stack Overflow?,A few times per month or weekly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Less than once per month or monthly
SOVisitFreq,How frequently would you say you visit Stack Overflow?,Multiple times per day
